year,city,budget,population,province,autonomous_region
2015,Lugo,93503825.74,98560,Lugo,Galicia
2015,Madrid,4650554218.0,3165235,Madrid,Comunidad de Madrid
2015,Málaga,645705018.7700001,566913,Málaga,Andalucía
2015,Murcia,400356892.0,439712,Murcia,Región de Murcia
2015,Oviedo,220832000.0,223765,Asturias,Principado de Asturias
2015,Palencia,76912398.14,80178,Palencia,Castilla y León
2015,Palma de Mallorca,420147694.67,399093,"Balears, Illes",Baleares
2015,"Palmas de Gran Canaria, Las",315407924.1,382283,"Palmas, Las",Canarias
2015,Pontevedra,72288500.0,82946,Pontevedra,Galicia
2015,Salamanca,144533147.75,148042,Salamanca,Castilla y León
2015,Santa Cruz de Tenerife,259089230.0,205279,Santa Cruz de Tenerife,Canarias
2015,Santander,195600752.62,175736,Cantabria,Cantabria
2015,Segovia,59499448.0,53260,Segovia,Castilla y León
2015,Sevilla,878712585.81,696676,Sevilla,Andalucía
2015,Soria,56265000.0,39516,Soria,Castilla y León
2015,Tarragona,188781205.91,132199,Tarragona,Cataluña
2015,Teruel,42684804.14,35675,Teruel,Aragón
2015,Toledo,86318777.78000002,83334,Toledo,Castilla-La Mancha
2015,Valencia,780353653.97,786424,Valencia/València,Comunidad Valenciana
2015,Valladolid,286080657.0,306830,Valladolid,Castilla y León
2015,Zamora,57190375.60000001,64423,Zamora,Castilla y León
2015,Zaragoza,708554227.0,666058,Zaragoza,Aragón
